key,region,description,easting,northing,latitude,longitude,url
TP102F,"Tai Po, North & Yuen Long",Yuen Shin Road near Ting Kok Road,836313,835269,22.45688973,114.1773116,http://tdcctv.data.one.gov.hk/TP102F.JPG
ST115F,Shatin & Ma On Shan,Fo Tan Road,838396,827843,22.38982807,114.1975391,http://tdcctv.data.one.gov.hk/ST115F.JPG
ST725F,Shatin & Ma On Shan,Lion Rock Tunnel Road near Sun Tin Wai Estate,837409,825648,22.37000701,114.1879529,http://tdcctv.data.one.gov.hk/ST725F.JPG
ST731F,Shatin & Ma On Shan,Ma On Shan Bypass near Heng On Estate,841525,830492,22.41374312,114.227933,http://tdcctv.data.one.gov.hk/ST731F.JPG
ST732F,Shatin & Ma On Shan,Ma On Shan Bypass near Yiu On Estate,842077,830916,22.41757026,114.2332959,http://tdcctv.data.one.gov.hk/ST732F.JPG
ST112F,Shatin & Ma On Shan,Mei Tin Rd nr Che Kung Miu Rd Rbt,836511,825814,22.37150644,114.1792338,http://tdcctv.data.one.gov.hk/ST112F.JPG
ST117F,Shatin & Ma On Shan,Sai Sha Road near Ma On Shan Sports Ground,841411,831377,22.42173545,114.2268287,http://tdcctv.data.one.gov.hk/ST117F.JPG
ST119F,Shatin & Ma On Shan,Sai Sha Road/Kam Ying Road,842796,831981,22.42718513,114.2402838,http://tdcctv.data.one.gov.hk/ST119F.JPG
ST715F,Shatin & Ma On Shan,Sha Lek Highway near Prince Wales Hospital,838694,826489,22.37760035,114.2004308,http://tdcctv.data.one.gov.hk/ST715F.JPG
ST106F,Shatin & Ma On Shan,Sha Tin Wai Road/Sha Lek Highway Slip Road,838638,826524,22.3779165,114.1998871,http://tdcctv.data.one.gov.hk/ST106F.JPG
ST721F,Shatin & Ma On Shan,Shatin Road near Yuen Chau Kok Park,838800,827176,22.38380417,114.2014612,http://tdcctv.data.one.gov.hk/ST721F.JPG
SM933F,Shatin & Ma On Shan,Shing Mun Tunnel Road,836842,826509,22.37778258,114.1824479,http://tdcctv.data.one.gov.hk/SM933F.JPG
SM934F,Shatin & Ma On Shan,Shing Mun Tunnel Shatin Side,835988,827025,22.38244241,114.1741555,http://tdcctv.data.one.gov.hk/SM934F.JPG
ST109F,Shatin & Ma On Shan,Tai Chung Kiu Road near Ravana Garden,838987,827774,22.38920413,114.2032781,http://tdcctv.data.one.gov.hk/ST109F.JPG
ST114F,Shatin & Ma On Shan,Tai Po Road - Shatin Section,837603,827241,22.3843925,114.1898379,http://tdcctv.data.one.gov.hk/ST114F.JPG
ST703F,Shatin & Ma On Shan,Tai Po Road near MTR Racecourse Station,838614,828403,22.39488488,114.1996569,http://tdcctv.data.one.gov.hk/ST703F.JPG
ST712F1,Shatin & Ma On Shan,Tate's Cairn Highway near Shatin Hospital,839918,828795,22.39842255,114.2123212,http://tdcctv.data.one.gov.hk/ST712F1.JPG
ST714F,Shatin & Ma On Shan,Tate's Cairn Highway near Tai Shek Kwu,839799,827629,22.38789322,114.2111629,http://tdcctv.data.one.gov.hk/ST714F.JPG
TH110F,Shatin & Ma On Shan,Tolo Highway near HK Science Park,838321,833202,22.43822255,114.1968177,http://tdcctv.data.one.gov.hk/TH110F.JPG
TH114F,Shatin & Ma On Shan,Tolo Highway near Island House Interchange,836347,833929,22.44478893,114.1776419,http://tdcctv.data.one.gov.hk/TH114F.JPG
TH101F,Shatin & Ma On Shan,Tolo Highway near Ma Liu Shui Interchange,839945,830234,22.41141738,114.2125867,http://tdcctv.data.one.gov.hk/TH101F.JPG
TH703F,"Tai Po, North & Yuen Long",Tolo Highway near Ma Wo,834456,833474,22.44067912,114.1592719,http://tdcctv.data.one.gov.hk/TH703F.JPG
TH701F,"Tai Po, North & Yuen Long",Tolo Highway near Mui Shue Hang,833463,835209,22.45634561,114.1496225,http://tdcctv.data.one.gov.hk/TH701F.JPG
